souches;NaCl;KNO3;app.col;app.rac;nodo;fixp;fixm;mnodo
NI;0;0;;;;;;
NI;0;0;0.06;0.12;0;0;0;0
NI;0;0;0.03;0.13;0;0;0;0
NI;0;5;0.02;0.06;0;0;0;0
NI;0;5;0.64;0.57;45;;;0.06
NI;0;5;0.86;0.66;31;;;0.022
NI;0;5;0.69;0.66;33;;;0.021
B;0;5;0.62;0.67;16;;;0.015
B;10;0;0.24;0.25;32;;;0.05
A;0;0;0.32;0.31;14;;;0.004
A;0;0;0.23;0.25;27;;;0.013
A;0;0;0.25;0.22;22;;;0.012
A;0;0;0.11;0.14;10;;;0.007
C;0;0;0.23;0.24;17;;;0.01
C;0;0;0.06;0.12;30;;;0.052
C;0;0;0.05;0.11;12;;;0.002
C;0;0;0.06;0.11;32;;;0.003
NI;0;0;0.078;0.242;0;0;0;0
NI;0;0;0.095;0.279;0;0;0;0
NI;0;0;0.084;0.233;0;0;0;0
NI;0;0;0.08;0.286;0;0;0;0
NI;0;5;0.577;0.931;78,000;9;69;0.012
NI;0;5;0.597;0.876;0,000;0;0;0
NI;0;5;0.814;0.796;26,000;23;13;0.023
NI;0;5;0.651;1.065;0,000;0;0;0
B;0;5;0.307;0.374;25,000;21;4;0.007
B;10;0;0.146;0.182;19,000;17;2;0.011
A;0;0;0.953;0.911;26,000;24;2;0.006
A;0;0;0.203;0.176;18,000;17;1;0.012
A;0;0;0.251;0.288;19,000;19;0;0.014
A;0;0;0.255;0.205;24,000;20;4;0.013
C;0;0;0.094;0.242;33,000;0;33;0.007
C;0;0;0.067;0.165;40,000;0;40;0.005
C;0;0;0.080;0.240;59,000;0;59;0.009
C;0;0;0.053;0.085;20,000;0;20;0.007
NI;0;0;0.1;0.21;0;0;0;0
NI;0;0;0.06;0.17;0;0;0;0
NI;0;0;0.07;0.18;0;0;0;0
NI;0;0;0.1;0.26;0;0;0;0
B;25;0;0.317;0.275;20;20;0;0.008
B;0;10;0.423;0.373;25;25;0;0.004
NI;0;10;0.82;0.93;0;0;0;0
NI;0;10;0.71;0.67;0;0;0;0
NI;25;0;0.6;0.67;0;0;0;0
NI;25;0;0.742;0.925;0;0;0;0
A;0;0;0.29;0.23;28;24;4;0.019
A;0;0;0.12;0.17;20;20;0;0.007
A;0;0;0.14;0.21;23;23;0;0.007
A;0;0;0.19;0.26;22;16;6;0.013
C;0;0;0.09;0.18;18;0;18;0.007
C;0;0;0.1;0.2;16;0;16;0.006
C;0;0;0.07;0.2;13;0;13;0.008
C;0;0;0.06;0.13;9;0;9;0.003
NI;0;0;0.058;0.187;0;;;0
NI;0;0;0.061;0.26;0;;;0
NI;0;0;0.046;0.192;0;;;0
NI;0;0;0.06;0.231;0;;;0
NI;0;10;0.299;0.614;0;;;0
NI;0;10;0.726;0.846;0;;;0
NI;0;10;0.684;0.965;0;;;0
NI;0;10;0.278;0.386;0;;;0
B;0;10;0.126;0.146;12;;;0.016
B;0;10;0.361;0.336;23;;;0.008
A;0;0;0.189;0.194;12;;;0.01
A;0;0;0.12;0.098;12;;;
A;0;0;0.159;0.101;16;;;0.01
A;0;0;0.077;0.078;12;;;0.006
C;0;0;0.06;0.092;17;;;0.009
C;0;0;0.088;0.168;15;;;0.007
C;0;0;0.087;0.115;12;;;0.018
C;0;0;0.067;0.105;12;;;0.002
NI;0;0;0.09;0.31;0;0;0;0
NI;0;0;0.06;0.23;0;0;0;0
NI;0;0;0.09;0.24;0;0;0;0
NI;0;0;0.06;0.21;0;0;0;0
NI;0;25;0.05;0.15;0;0;0;0
NI;0;25;0.37;0.33;0;0;0;0
NI;0;25;0.25;0.22;0;0;0;0
NI;0;25;0.16;0.15;0;0;0;0
B;50;0;0.02;0.08;0;0;0;0
B;50;0;0.14;0.13;18;18;0;0.012
B;0;25;0.14;0.25;12;8;4;0.06
A;0;0;0.17;0.16;11;11;0;0.012
A;0;0;0.27;0.21;21;21;0;0.012
A;0;0;0.19;0.14;19;19;0;0.007
A;0;0;0.14;0.09;19;15;4;0.012
C;0;0;0.07;0.12;16;0;16;0.002
C;0;0;0.08;0.16;20;3;17;0.006
C;0;0;0.11;0.14;5;1;4;0.001
C;0;0;0.06;0.1;4;4;0;
NI;0;;0.06;0.018;0;0;0;
NI;0;;0.05;0.20;0;0;0;
NI;0;;0.09;0.23;0;0;0;
NI;0;;0.06;0.15;0;0;0;
NI;0;25;0.56;0.46;0;0;0;
NI;0;25;0.42;0.31;0;0;0;
NI;0;25;0.54;0.38;0;0;0;
NI;0;25;0.21;0.19;0;0;0;
B;50;0;0.19;0.17;18;18;0;
B;0;25;0.39;0.36;21;21;0;
A;0;0;0.13;0.10;9;9;0;
A;0;0;0.43;0.29;30;30;0;
A;0;0;0.21;0.13;17;17;0;
A;0;0;0.27;0.24;17;17;0;
C;0;0;0.07;0.19;6;0;6;
C;0;0;0.07;0.21;10;0;10;
C;0;0;0.08;0.21;8;0;8;
C;0;0;0.06;0.11;20;0;20;
NI;0;0;0.07;0.20;0;0;0;0
NI;0;0;0.07;0.19;0;0;0;0
NI;0;0;0.06;0.16;0;0;0;0
NI;0;0;0.08;0.20;0;0;0;0
NI;0;50;0.05;0.13;0;0;0;0
NI;0;50;0.26;0.18;0;0;0;0
NI;0;50;0.04;0.14;0;0;0;0
NI;0;50;0.03;0.12;0;0;0;0
A;0;50;0.12;0.12;17;17;0;0.006
A;75;0;0.16;0.11;30;30;0;0.01
A;75;0;0.03;0.06;0;0;0;0
A;75;0;0.03;0.05;1;0;1;0.001
A;0;50;0.18;0.15;0;0;0;0
A;0;50;0.05;0.12;0;0;0;0
B;0;0;0.40;0.24;23;0;23;0.017
B;0;0;0.32;0.19;23;0;23;0.015
C;0;0;0.08;0.16;17;0;17;0.003
C;0;0;0.08;0.1;31;0;31;0.004
C;0;0;0.11;0.15;28;0;28;0.008
C;0;0;0.08;0.16;20;0;20;0.003
A;0;0;0.15;0.18;15;;;0.003
A;0;0;0.22;0.28;20;;;0.009
A;0;0;0.26;0.25;16;;;0.009
B;75;0;0.13;0.16;15;;;0.004
B;75;0;0.13;0.13;20;;;0.004
B;0;50;0.32;0.29;22;;;0.007
B;0;50;0.25;0.19;0;0;0;
NI;0;50;0.11;0.17;0;0;0;
NI;0;50;0.17;0.21;0;0;0;
NI;0;50;0.13;0.18;0;0;0;
NI;0;50;0.14;0.27;0;0;0;
B;75;0;0.19;0.21;0;0;0;
B;75;0;0.01;0.1;0;0;0;
C;0;0;0.02;0.09;0;0;0;
C;0;0;0.11;0.21;19;2;17;0.004
C;0;0;0.27;0.41;23;3;20;0.006
C;0;0;0.07;0.16;14;0;14;0.006
NI;0;0;0.06;0.24;45;0;45;0.01
NI;0;0;0.2;0.26;20;;;
NI;0;0;0.05;0.18;0;0;0;
NI;0;0;0.09;0.26;0;0;0;
